mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.15954271952311197,0.002611651824034647,0.03529222806294759,0.0017053760850310397,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.4774978821903687,-0.46723412818731874,-0.4418787526420587,-0.4622035876732487,0.01497020041822191,22,-0.1718842309952373,-0.18793549371054605,-0.21221176827323576,-0.19067716432633972,0.01657739694184461
0.34238529205322266,0.011852194862143289,0.05893476804097494,0.0023751181972493014,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.4793869053892241,-0.46251037490280605,-0.4438001855887336,-0.4618991552935879,0.01453464478634127,21,-0.17316678461567678,-0.18607364543655047,-0.2099925573296244,-0.1897443291272839,0.01525647016979779
0.08838534355163574,0.006417078822311902,0.025419076283772785,0.0008610798127218444,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.46888400215461973,-0.4562497121260104,-0.42347086679141743,-0.44953486035734924,0.019138184197836066,10,-0.24367337168159103,-0.25210532676404296,-0.26190167925749497,-0.252560125901043,0.0074486209444747185
0.17740241686503092,0.01732503972244878,0.0410927931467692,0.0013596620374207082,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.47737262759690885,-0.4622433546511385,-0.4269093373699078,-0.4555084398726517,0.02114482163460271,14,-0.24723618459546573,-0.24961246218840089,-0.261655552810095,-0.2528347331979872,0.0063122535738926394
0.31481409072875977,0.028740701423293796,0.0630800724029541,0.014088243764604415,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.4767467491203617,-0.4593537505951814,-0.4267486351336804,-0.4542830449497412,0.020724170950258684,13,-0.2471965239231847,-0.24924033142201862,-0.2581041291946271,-0.2515136615132768,0.004734271184125707
0.09950860341389973,0.011873034101823518,0.025875091552734375,0.0015617715378766451,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4556060301206204,-0.44294615384689484,-0.42986947642493323,-0.44280722013081614,0.010507363321843871,1,-0.30235849109882573,-0.2938832213787123,-0.3030766109440991,-0.29977277447387907,0.004174849360446827
0.17293715476989746,0.019356162918339807,0.038849830627441406,0.005991283632521614,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.45766476141459006,-0.4470606450625457,-0.43032385456520733,-0.44501642034744765,0.011255085897821749,4,-0.30516767164150094,-0.2946094142407117,-0.29953874749429005,-0.29977194445883426,0.0043135434353931265
0.3305513858795166,0.008122275927938285,0.059160312016805015,0.0008719954182592869,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4566961338577764,-0.44792995421615406,-0.43323697183324217,-0.44595435330239086,0.009678509525444636,7,-0.3063294106617931,-0.2947962860061527,-0.2966479830725516,-0.29925789324683244,0.00505713782153477
0.10441048940022786,0.015192803253001859,0.027234951655069988,0.0013723485018889228,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.48459999999999975,-0.46431324200913193,-0.4380666362252669,-0.4623266260781329,0.01904903266469418,23,-0.15763287671232892,-0.15713841324200883,-0.16572266362252655,-0.1601646511922881,0.003935289075521989
0.1727010409037272,0.020208352329121007,0.034972031911214195,0.0016601767135569808,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.48260136986301155,-0.4703926940639256,-0.4442591313328982,-0.46575106508661185,0.015993547731242685,25,-0.1603675799086818,-0.15292063356164526,-0.1613202877437126,-0.15820283373801322,0.0037552755852843047
0.3204689820607503,0.013925742692352435,0.0595404307047526,0.0055707030489161,16,1,200,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.4829073972602722,-0.46783447488584046,-0.4491084631540426,-0.46661677843338517,0.013825196205167195,27,-0.16031200913242508,-0.15302182933790232,-0.15777344834516335,-0.15703576227183025,0.003021568678265115
0.10725522041320801,0.009037250230845305,0.04236523310343424,0.012642591703013272,16,3,50,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.468585859080038,-0.45892581828369533,-0.4238574878926245,-0.45045638841878594,0.019217270512869842,12,-0.24375442190990138,-0.24572752627129346,-0.25052562069589474,-0.2466691896256965,0.0028433935891968606
0.1650083065032959,0.008275938279355242,0.03810612360636393,0.001558068610770746,16,3,100,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.47720429940303305,-0.464916139229872,-0.43012748202710466,-0.4574159735533366,0.01993733595448898,19,-0.24709922497973869,-0.2433711495087868,-0.25028429977556743,-0.24691822475469763,0.0028251822907405418
0.32889795303344727,0.004258457679878291,0.04455788930257162,0.0007576806486854679,16,3,200,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.4766278100723471,-0.4609327690745325,-0.4298490237150603,-0.4558032009539799,0.019438759649948737,15,-0.24712712598094438,-0.24361231112019632,-0.24796773348702225,-0.24623572352938763,0.0018865090769890128
0.0965425173441569,0.005100831859037837,0.027585983276367188,0.0020734084125637845,16,5,50,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.45560603012062056,-0.4430058545566961,-0.43000420813176776,-0.44287203093636146,0.010452328412312296,2,-0.30235849109882595,-0.29367412584200797,-0.30053984080395907,-0.29885748591493094,0.0037396335344464173
0.14958532651265463,0.003925818076857393,0.03387228647867838,0.002061705252456254,16,5,100,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.45766476141459006,-0.44704429741729707,-0.43129347233040743,-0.44533417705409817,0.010833731451131477,5,-0.3051676716415014,-0.29414151308099595,-0.2972101039651159,-0.29883976289587105,0.004646567501808505
0.2624219258626302,0.005841401715722269,0.032330830891927086,0.005299471677910664,16,5,200,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4566961338577755,-0.4482389203520657,-0.4342178016842897,-0.4463842852980437,0.00926997330859507,8,-0.3063294106617928,-0.29414044426352304,-0.29424747012927915,-0.29823910835153167,0.005720874480796784
